# gapseq version: 1.2 dd8576dc
# Transporter sequence DB md5sum: b99a77e (2024-03-19)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|P0AEB5|1.A.23.4.3	1.A.23.4.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0AEB5|1.A.23.4.3	100.000	0.0	645	100	lcl|U00096.3_cds_AAC74412.1_1316 [gene=ynaI] [locus_tag=b1330] [db_xref=ECOCYC:G6666] [protein=small conductance mechanosensitive channel YnaI] [protein_id=AAC74412.1] [location=complement(1394891..1395922)] [gbkey=CDS]	1	1029	transporter
gnl|TC-DB|Q8EGR5|1.A.30.1.6	1.A.30.1.6	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q8EGR5|1.A.30.1.6	23.875	1.75e-09	55.1	93	lcl|U00096.3_cds_AAC74959.1_1888 [gene=motB] [locus_tag=b1889] [db_xref=UniProtKB/Swiss-Prot:P0AF06] [protein=motility protein B] [protein_id=AAC74959.1] [location=complement(1975329..1976255)] [gbkey=CDS]	46	777	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	90.615	0.0	546	100	lcl|U00096.3_cds_AAC74959.1_1888 [gene=motB] [locus_tag=b1889] [db_xref=UniProtKB/Swiss-Prot:P0AF06] [protein=motility protein B] [protein_id=AAC74959.1] [location=complement(1975329..1976255)] [gbkey=CDS]	1	924	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	99.590	7.11e-180	490	100	lcl|U00096.3_cds_AAC76042.1_2956 [gene=exbB] [locus_tag=b3006] [db_xref=UniProtKB/Swiss-Prot:P0ABU7] [protein=Ton complex subunit ExbB] [protein_id=AAC76042.1] [location=complement(3151250..3151984)] [gbkey=CDS]	1	732	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	99.565	1.65e-170	466	100	lcl|U00096.3_cds_AAC73831.1_718 [gene=tolQ] [locus_tag=b0737] [db_xref=UniProtKB/Swiss-Prot:P0ABU9] [protein=Tol-Pal system protein TolQ] [protein_id=AAC73831.1] [location=775153..775845] [gbkey=CDS]	1	690	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	99.213	2.49e-77	222	100	lcl|U00096.3_cds_AAC73725.1_617 [gene=crcB] [locus_tag=b0624] [db_xref=UniProtKB/Swiss-Prot:P37002] [protein=F(-) channel protein] [protein_id=AAC73725.1] [location=complement(657555..657938)] [gbkey=CDS]	1	381	transporter
gnl|TC-DB|W9BH30|1.A.46.2.8	1.A.46.2.8	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|W9BH30|1.A.46.2.8	55.738	1.77e-121	348	100	lcl|U00096.3_cds_AAC74593.2_1504 [gene=yneE] [locus_tag=b1520] [db_xref=UniProtKB/Swiss-Prot:P76146] [protein=PF01062 family inner membrane protein YneE] [protein_id=AAC74593.2] [location=complement(1608108..1609022)] [gbkey=CDS]	1	912	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	1.64e-20	82.4	96	lcl|U00096.3_cds_AAC73268.1_160 [gene=yadS] [locus_tag=b0157] [db_xref=UniProtKB/Swiss-Prot:P0AFP0] [protein=PF03458 family protein YadS] [protein_id=AAC73268.1] [location=complement(177001..177624)] [gbkey=CDS]	1	594	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	33.333	1.64e-20	82.4	96	lcl|U00096.3_cds_AAC73268.1_160 [gene=yadS] [locus_tag=b0157] [db_xref=UniProtKB/Swiss-Prot:P0AFP0] [protein=PF03458 family protein YadS] [protein_id=AAC73268.1] [location=complement(177001..177624)] [gbkey=CDS]	1	594	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	32.243	3.45e-15	69.7	80	lcl|U00096.3_cds_AAC73962.1_851 [gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)] [gbkey=CDS]	7	627	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	33.333	3.66e-10	55.5	78	lcl|U00096.3_cds_AAC73962.1_851 [gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)] [gbkey=CDS]	19	627	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	100.000	0.0	523	100	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	1	843	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	32.129	3.29e-13	65.1	76	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	756	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	29.268	6.59e-17	76.3	75	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	762	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	GLYCEROL	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	37.321	9.45e-17	73.9	80	lcl|U00096.3_cds_AAC73962.1_851 [gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)] [gbkey=CDS]	7	570	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	33.333	1.53e-25	98.6	99	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	16	771	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	38.889	1.24e-19	80.9	89	lcl|U00096.3_cds_AAC73962.1_851 [gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)] [gbkey=CDS]	7	624	transporter
gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	1.A.8.2.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8Y6Z1|1.A.8.2.11	38.362	1.09e-33	120	78	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	91	777	transporter
gnl|TC-DB|P22094|1.A.8.2.2	1.A.8.2.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P22094|1.A.8.2.2	26.613	2.55e-08	50.8	84	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	1	636	transporter
gnl|TC-DB|P52280|1.A.8.2.3	1.A.8.2.3	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P52280|1.A.8.2.3	30.078	2.63e-12	62.0	95	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	34	750	transporter
gnl|TC-DB|C6VJ63|1.A.8.2.4	1.A.8.2.4	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|C6VJ63|1.A.8.2.4	30.677	7.02e-21	85.9	98	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	768	transporter
gnl|TC-DB|D7V7W8|1.A.8.2.5	1.A.8.2.5	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V7W8|1.A.8.2.5	36.538	8.81e-19	80.1	81	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	34	636	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	33.981	8.45e-16	72.0	80	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	636	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	33.036	5.21e-20	84.0	83	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	10	636	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	31.557	2.74e-13	64.7	95	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	747	transporter
gnl|TC-DB|D0JBC9|1.A.8.2.9	1.A.8.2.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D0JBC9|1.A.8.2.9	33.333	1.91e-20	85.1	97	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	753	transporter
gnl|TC-DB|P29972|1.A.8.8.1	1.A.8.8.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P29972|1.A.8.8.1	35.514	5.66e-26	99.4	75	lcl|U00096.3_cds_AAC73962.1_851 [gene=aqpZ] [locus_tag=b0875] [db_xref=UniProtKB/Swiss-Prot:P60844] [protein=water channel AqpZ] [protein_id=AAC73962.1] [location=complement(915352..916047)] [gbkey=CDS]	7	627	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.1	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	39.855	3.18e-56	180	92	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	10	831	transporter
gnl|TC-DB|806392255|1.A.8.9.10	1.A.8.9.10	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|806392255|1.A.8.9.10	36.719	1.58e-37	131	85	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	13	774	transporter
gnl|TC-DB|Q8WPZ6|1.A.8.9.13	1.A.8.9.13	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8WPZ6|1.A.8.9.13	36.694	4.68e-31	113	90	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	765	transporter
gnl|TC-DB|O43315|1.A.8.9.14	1.A.8.9.14	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O43315|1.A.8.9.14	39.855	3.18e-56	180	92	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	10	831	transporter
gnl|TC-DB|ALA27401|1.A.8.9.17	1.A.8.9.17	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|ALA27401|1.A.8.9.17	35.075	1.05e-30	114	77	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	16	786	transporter
gnl|TC-DB|Q388I5|1.A.8.9.19	1.A.8.9.19	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q388I5|1.A.8.9.19	33.197	2.84e-26	102	76	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	34	765	transporter
gnl|TC-DB|P56627|1.A.8.9.2	1.A.8.9.2	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P56627|1.A.8.9.2	36.071	4.51e-45	151	92	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	1	834	transporter
gnl|TC-DB|Q6ZXT2|1.A.8.9.21	1.A.8.9.21	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q6ZXT2|1.A.8.9.21	37.705	4.12e-39	136	78	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	34	765	transporter
gnl|TC-DB|O14520|1.A.8.9.6	1.A.8.9.6	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O14520|1.A.8.9.6	31.559	7.33e-30	112	75	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	28	807	transporter
gnl|TC-DB|F6QEC2|1.A.8.9.9	1.A.8.9.9	glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|F6QEC2|1.A.8.9.9	35.125	2.77e-44	149	91	lcl|U00096.3_cds_AAC76909.1_3856 [gene=glpF] [locus_tag=b3927] [db_xref=UniProtKB/Swiss-Prot:P0AER0] [protein=glycerol facilitator] [protein_id=AAC76909.1] [location=complement(4117245..4118090)] [gbkey=CDS]	13	834	transporter
gnl|TC-DB|P0C6Q6|1.B.1.1.15	1.B.1.1.15	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0C6Q6|1.B.1.1.15	27.174	1.56e-16	77.0	90	lcl|U00096.3_cds_AAC74459.1_1364 [gene=ompN] [locus_tag=b1377] [db_xref=UniProtKB/Swiss-Prot:P77747] [protein=outer membrane porin N] [protein_id=AAC74459.1] [location=complement(1435760..1436893)] [gbkey=CDS]	70	1131	transporter
gnl|TC-DB|P13036|1.B.14.1.20	1.B.14.1.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P13036|1.B.14.1.20	100.000	0.0	1565	100	lcl|U00096.3_cds_AAC77247.1_4198 [gene=fecA] [locus_tag=b4291] [db_xref=UniProtKB/Swiss-Prot:P13036] [protein=ferric citrate outer membrane transporter] [protein_id=AAC77247.1] [location=complement(4514353..4516677)] [gbkey=CDS]	1	2322	transporter
gnl|TC-DB|P05825|1.B.14.1.22	1.B.14.1.22	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P05825|1.B.14.1.22	100.000	0.0	1467	100	lcl|U00096.3_cds_AAC73685.1_575 [gene=fepA] [locus_tag=b0584] [db_xref=UniProtKB/Swiss-Prot:P05825] [protein=ferric enterobactin outer membrane transporter] [protein_id=AAC73685.1] [location=complement(610254..612494)] [gbkey=CDS]	1	2238	transporter
gnl|TC-DB|P33369|1.B.17.3.10	1.B.17.3.10	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P33369|1.B.17.3.10	34.979	2.39e-80	255	96	lcl|U00096.3_cds_AAD13463.1_3998 [gene=mdtP] [locus_tag=b4080] [db_xref=UniProtKB/Swiss-Prot:P32714] [protein=putative multidrug efflux pump outer membrane channel] [protein_id=AAD13463.1] [location=complement(4299564..4301030)] [gbkey=CDS]	58	1440	transporter
gnl|TC-DB|P71461|1.C.30.1.1	1.C.30.1.1	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P71461|1.C.30.1.1	37.288	2.1	22.7	85	lcl|U00096.3_cds_AAC76797.1_3731 [gene=wzxE] [locus_tag=b3792] [db_xref=UniProtKB/Swiss-Prot:P0AAA7] [protein=lipid IIIECA flippase] [protein_id=AAC76797.1] [location=3976278..3977528] [gbkey=CDS]	277	450	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0C931|1.C.32.2.2	50.000	9.0	18.5	80	lcl|U00096.3_cds_AAC73327.1_220 [gene=yafJ] [locus_tag=b0223] [db_xref=UniProtKB/Swiss-Prot:Q47147] [protein=putative glutamine amidotransferase YafJ] [protein_id=AAC73327.1] [location=244327..245094] [gbkey=CDS]	451	486	transporter
gnl|TC-DB|P0C931|1.C.32.2.2	1.C.32.2.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|P0C931|1.C.32.2.2	50.000	9.0	18.5	80	lcl|U00096.3_cds_AAC73327.1_220 [gene=yafJ] [locus_tag=b0223] [db_xref=UniProtKB/Swiss-Prot:Q47147] [protein=putative glutamine amidotransferase YafJ] [protein_id=AAC73327.1] [location=244327..245094] [gbkey=CDS]	451	486	transporter
gnl|TC-DB|P15701|2.A.10.1.1	2.A.10.1.1	2-dehydro-3-deoxy-D-gluconate	EX_cpd00176_e0	rxn05681,rxn08319	gnl|TC-DB|P15701|2.A.10.1.1	90.446	5.30e-155	435	93	lcl|U00096.3_cds_AAC76891.2_3839 [gene=kdgT] [locus_tag=b3909] [db_xref=UniProtKB/Swiss-Prot:P0A712] [protein=2-dehydro-3-deoxy-D-gluconate:H(+) symporter] [protein_id=AAC76891.2] [location=4101690..4102673] [gbkey=CDS]	1	942	transporter
